RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
8285,P_F_nicola_sturge.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4339,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3940,E_M_Simon_Pegg.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5388,P_M_nigel_farage.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4712,E_F_Jennifer_Saunders.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5723,E_F_Sarah_Millican.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3619,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4574,E_M_Simon_Pegg.png,P_M_Sajid_Javid.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
4222,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
5489,E_F_Dawn_Roma_French.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
3365,E_F_Julie_Walters.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60fedccd65da849fc08a6498,"07/06/2022, 19:04:59"
