RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
6893,E_F_Dawn_Roma_French.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4967,P_F_Theresa_May.png,P_M_Gordon_Brown.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3527,E_F_Julie_Walters.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3855,E_M_Simon_Pegg.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4496,E_M_Jimmy_Carr.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2591,E_M_Ewan_McGregor.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3968,E_M_Ewan_McGregor.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4621,E_F_Jennifer_Saunders.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4153,P_M_jeremy_corbyn.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2975,P_F_Theresa_May.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2976,P_M_keir_starmer.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
5399,E_F_Jennifer_Saunders.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2599,E_M_Peter_Kay.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4535,E_M_Russell_Howard.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2503,E_M_Peter_Kay.png,E_M_Simon_Pegg.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2934,P_F_Theresa_May.png,P_M_Sajid_Javid.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3592,E_F_Sarah_Millican.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3465,E_M_Simon_Pegg.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4758,E_F_Sarah_Millican.png,E_M_Ewan_McGregor.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2535,E_M_Russell_Howard.png,P_M_nigel_farage.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2423,E_M_Jimmy_Carr.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3631,E_M_Jimmy_Carr.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
5175,P_F_Theresa_May.png,P_M_david_camer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
4512,E_F_Julie_Walters.png,E_M_Michael_McIntyr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3048,E_F_Julie_Walters.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2816,E_F_Sarah_Millican.png,P_F_Theresa_May.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1847,E_M_Russell_Howard.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2614,E_F_Dawn_Roma_French.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2552,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3240,E_M_Peter_Kay.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2569,E_M_Jimmy_Carr.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2931,E_F_Julie_Walters.png,P_M_Michael_Gove.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2622,E_M_Russell_Howard.png,P_M_keir_starmer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3398,P_M_jeremy_corbyn.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3096,E_M_Michael_McIntyr.png,P_M_david_camer.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3008,E_F_Sarah_Millican.png,E_M_Jimmy_Carr.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3446,E_F_Julie_Walters.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2958,E_M_Michael_McIntyr.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
6089,E_F_Julie_Walters.png,E_M_Peter_Kay.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2935,P_M_jeremy_corbyn.png,P_M_keir_starmer.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
1950,E_F_Dawn_Roma_French.png,P_M_jeremy_corbyn.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
3136,E_F_Sarah_Millican.png,P_M_Gordon_Brown.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
2078,P_F_Theresa_May.png,P_M_Michael_Gove.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
5025,E_M_Ewan_McGregor.png,E_M_Russell_Howard.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62aaf99f949a12f1fdb6d3d9,"07/06/2022, 18:53:01"
