RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
6050,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2685,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
3321,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2821,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
6661,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2075,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1890,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
3417,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1392,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1952,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1719,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1691,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
16507,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
3121,E_F_Sarah_Millican(1).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
2089,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
1962,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,599973b4336b6b000159e62d,"10/14/2022, 09:20:01"
