RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
14017,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
9154,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
6020,P_M_Michael_Gove(9).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3883,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2849,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
5039,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3185,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2542,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3446,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2188,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
5905,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2751,E_M_Simon_Pegg(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2398,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3478,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2439,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3208,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3820,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3162,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3127,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2292,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3098,E_M_Jimmy_Carr(5).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3422,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3114,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1752,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2261,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3270,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3744,E_M_Peter_Kay(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1855,P_F_Theresa_May(3).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3008,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2703,E_F_Jennifer_Saunders.png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
3326,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2337,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2078,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1717,E_M_Peter_Kay(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1991,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2389,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1566,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1476,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
2285,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1847,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
1416,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ae76daca740ff0001937dad,"10/14/2022, 08:10:19"
