RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
13329,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7012,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6051,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6917,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8653,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6634,E_M_Simon_Pegg(8).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9537,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
3909,E_M_Peter_Kay(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6467,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5199,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4078,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6783,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
11208,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4482,E_F_Sarah_Millican(1).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7173,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6916,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7323,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
10779,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
3632,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
10375,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
14018,E_M_Simon_Pegg(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7736,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5727,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
13493,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
10525,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8415,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9988,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7318,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6262,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
4592,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5175,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6731,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
19323,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
3865,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
7188,E_M_Russell_Howard(10).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8853,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
6696,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8142,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
9843,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
8678,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
25001,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5086,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
5170,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5b8bfff214e8c60001052fbd,"10/14/2022, 09:35:46"
