RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5155,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
7496,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
4154,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
6432,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5964,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
6026,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5650,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5816,E_M_Jimmy_Carr(5).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5928,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
5498,E_F_Sarah_Millican(1).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5dbb0562b1df1b110ead5bba,"10/14/2022, 09:20:52"
