RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4153,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
6553,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
7460,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4371,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3453,E_M_Peter_Kay(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2529,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
4719,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2379,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2312,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
2896,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
3762,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ebd6f91aa78300661bf065f,"10/14/2022, 09:15:11"
