RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2286,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2765,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2422,E_F_Jennifer_Saunders.png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3511,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3543,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
3718,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
4503,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
10990,E_M_Ewan_McGregor(3).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
1713,E_M_Russell_Howard(10).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2005,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2671,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2078,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2415,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
2318,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
1974,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f2acd4b53b8533a53c7bc89,"10/14/2022, 09:13:52"
