RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
10829,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4532,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
13214,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5135,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
8447,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3978,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4374,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4613,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5891,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
6119,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
10663,P_M_jeremy_corbyn(2).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4335,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5121,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3096,P_F_Theresa_May(3).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5973,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5261,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5905,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4070,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4688,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5806,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
9173,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3336,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2712,E_F_Julie_Walters(20).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3193,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2775,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4525,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2511,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5685,P_F_nicola_sturge(10).png,P_F_Theresa_May(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
6312,E_F_Sarah_Millican(1).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
5713,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2697,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
6602,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3812,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4656,E_F_Julie_Walters(20).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2818,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
3837,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2925,P_M_jeremy_corbyn(2).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4199,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
125536,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
4918,E_M_Michael_McIntyr(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
2692,E_F_Julie_Walters(20).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
27708,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61f2aeafa09e72f23cbafb8e,"10/14/2022, 08:58:39"
