RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3158,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3567,E_F_Sarah_Millican(1).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2664,E_M_Russell_Howard(10).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3762,E_F_Dawn_Roma(4).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3260,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3374,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2571,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2794,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3760,E_M_Peter_Kay(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4029,E_M_Ewan_McGregor(3).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3547,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3088,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5228,P_F_nicola_sturge(10).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4247,E_F_Dawn_Roma(4).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
7194,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3121,E_F_Julie_Walters(20).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2418,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2681,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
6115,E_F_Julie_Walters(20).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5461,E_F_Dawn_Roma(4).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2746,E_M_Jimmy_Carr(5).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
6273,E_F_Dawn_Roma(4).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4743,P_F_nicola_sturge(10).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
6464,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2528,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2859,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5599,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2595,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5514,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4305,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2136,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3320,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2736,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3309,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
5085,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3145,E_M_Peter_Kay(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
7660,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2739,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2263,E_M_Simon_Pegg(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
4444,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2556,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2625,E_M_Jimmy_Carr(5).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
6008,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2867,E_M_Ewan_McGregor(3).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2563,E_M_Peter_Kay(3).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3648,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3906,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2744,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2447,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3089,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2352,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2830,P_F_Theresa_May(3).png,P_M_david_camer(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2126,E_F_Sarah_Millican(1).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2207,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3265,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3364,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3907,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
2354,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3930,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
3251,E_F_Jennifer_Saunders.png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,627e1a670e22288b334ebf9d,"10/14/2022, 09:20:36"
