RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
10753,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4023,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5792,P_M_keir_starmer(6).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
24173,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
6881,P_M_Michael_Gove(9).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
9210,E_M_Peter_Kay(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4462,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5824,E_F_Julie_Walters(20).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5646,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4227,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5590,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
7555,P_F_Theresa_May(3).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3070,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4373,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4688,E_M_Russell_Howard(10).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4428,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5107,P_F_Theresa_May(3).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2832,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3093,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3124,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4114,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3721,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5141,E_F_Dawn_Roma(4).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2875,E_F_Jennifer_Saunders.png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4250,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2662,E_M_Michael_McIntyr(8).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3182,E_F_Jennifer_Saunders.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4780,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4094,E_F_Dawn_Roma(4).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3854,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2212,E_F_Dawn_Roma(4).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3045,E_M_Michael_McIntyr(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3488,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3890,P_F_Theresa_May(3).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
2335,P_F_nicola_sturge(10).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5282,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
7243,E_F_Jennifer_Saunders.png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4123,E_M_Michael_McIntyr(8).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3674,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
5250,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
4206,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
3901,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,63287bc6011f4f37779e5b32,"10/14/2022, 09:18:15"
