"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
7352,"E_F_Julie_Walters.png","E_F_Sarah_Millican.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"E_F_Julie_Walters.png E_F_Sarah_Millican.png"
2828,"E_F_Jennifer_Saunders.png","P_M_Michael_Gove.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"E_F_Jennifer_Saunders.png P_M_Michael_Gove.png"
5620,"P_M_Gordon_Brown.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",-1.48276208261849,"25","Female","left",0,0,0,0,TRUE,"P_M_Gordon_Brown.png P_M_Tony_Blair.png"
3578,"P_M_Gordon_Brown.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"P_M_Gordon_Brown.png P_M_Sajid_Javid.png"
2759,"P_F_Theresa_May.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",1,0,0,0,TRUE,"P_F_Theresa_May.png P_M_Michael_Gove.png"
4406,"P_M_david_camer.png","P_M_jeremy_corbyn.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","5","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",-1.48276208261849,"25","Female","left",1,1,0,0,TRUE,"P_M_david_camer.png P_M_jeremy_corbyn.png"
3064,"P_M_david_camer.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",1,0,0,0,TRUE,"P_M_david_camer.png P_M_Michael_Gove.png"
2923,"E_M_Jimmy_Carr.png","P_M_Michael_Gove.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"E_M_Jimmy_Carr.png P_M_Michael_Gove.png"
4671,"E_M_Simon_Pegg.png","P_M_Michael_Gove.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"E_M_Simon_Pegg.png P_M_Michael_Gove.png"
2843,"P_M_Gordon_Brown.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"P_M_Gordon_Brown.png P_M_Michael_Gove.png"
3847,"E_M_Peter_Kay.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","6","5b755869d5d7a80001b45a1e","10/27/2022, 12:50:25",0.395403222031597,"25","Female","left",0,0,0,0,TRUE,"E_M_Peter_Kay.png P_M_nigel_farage.png"
