RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
7352,E_F_Julie_Walters(20).png,E_F_Sarah_Millican(1).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2828,E_F_Jennifer_Saunders.png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
5620,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3578,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2759,P_F_Theresa_May(3).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
4406,P_M_david_camer(14).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3064,P_M_david_camer(14).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2923,E_M_Jimmy_Carr(5).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
4671,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2843,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3847,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
5266,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3051,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3452,P_F_nicola_sturge(10).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3642,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3480,E_F_Jennifer_Saunders.png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2909,E_F_Jennifer_Saunders.png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2798,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2483,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2783,P_F_nicola_sturge(10).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2513,E_F_Sarah_Millican(1).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2842,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
3016,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2331,E_F_Sarah_Millican(1).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
2250,E_F_Sarah_Millican(1).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
5999,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b755869d5d7a80001b45a1e,"10/27/2022, 12:50:25"
