RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4735,E_M_Ewan_McGregor(3).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4836,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4536,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
6193,P_F_Theresa_May(3).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3133,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
7102,P_M_Gordon_Brown(19).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5041,E_M_Peter_Kay(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3442,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3885,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5718,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4888,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2917,E_F_Dawn_Roma(4).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4330,E_M_Jimmy_Carr(5).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4882,P_M_jeremy_corbyn(2).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4712,E_M_Michael_McIntyr(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3669,E_F_Dawn_Roma(4).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4808,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4370,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
8184,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5914,E_F_Dawn_Roma(4).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4079,E_F_Dawn_Roma(4).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2759,E_M_Jimmy_Carr(5).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2453,E_F_Julie_Walters(20).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2987,E_F_Sarah_Millican(1).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
5152,E_F_Julie_Walters(20).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3198,P_M_david_camer(14).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
4013,P_F_nicola_sturge(10).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
3148,E_M_Ewan_McGregor(3).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
2940,P_M_keir_starmer(6).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5da306a22e89480012ef4176,"10/27/2022, 13:35:36"
