RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5352,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4166,E_F_Jennifer_Saunders.png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4248,P_M_keir_starmer(6).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2047,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3614,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5615,E_M_Michael_McIntyr(8).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3814,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2842,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2323,E_M_Jimmy_Carr(5).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2711,P_M_nigel_farage(5).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3257,E_F_Julie_Walters(20).png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2742,P_F_nicola_sturge(10).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4314,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4101,E_F_Dawn_Roma(4).png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5037,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2566,P_M_Sajid_Javid(4).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2700,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2651,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
7144,E_F_Sarah_Millican(1).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2097,E_M_Peter_Kay(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
5223,E_M_Ewan_McGregor(3).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2513,E_M_Jimmy_Carr(5).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
4428,E_F_Julie_Walters(20).png,E_M_Ewan_McGregor(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
28648,E_M_Russell_Howard(10).png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2572,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2594,E_F_Jennifer_Saunders.png,E_F_Julie_Walters(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3402,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
2096,E_M_Michael_McIntyr(8).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
3631,P_M_Gordon_Brown(19).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e42da6c4a5ec517392ee0a1,"10/27/2022, 13:20:18"
