RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4019,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4004,P_M_Gordon_Brown(19).png,P_M_jeremy_corbyn(2).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
5668,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4996,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4445,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2399,E_F_Sarah_Millican(1).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3393,E_F_Sarah_Millican(1).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3172,P_M_Michael_Gove(9).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
4840,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2924,P_M_keir_starmer(6).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3135,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3893,P_M_david_camer(14).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2108,E_F_Dawn_Roma(4).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2983,P_M_david_camer(14).png,P_M_Sajid_Javid(4).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
3541,P_M_Gordon_Brown(19).png,P_M_nigel_farage(5).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2826,P_M_Gordon_Brown(19).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2190,E_F_Julie_Walters(20).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2652,E_F_Jennifer_Saunders.png,E_M_Michael_McIntyr(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2124,E_M_Michael_McIntyr(8).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1950,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2670,E_M_Ewan_McGregor(3).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2334,E_M_Ewan_McGregor(3).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
1853,E_M_Jimmy_Carr(5).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
2114,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
19990,E_M_Peter_Kay(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ef5f63c7aa58727ac4f8588,"10/27/2022, 13:13:09"
