RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
9389,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4424,E_M_Ewan_McGregor(3).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4464,E_M_Russell_Howard(10).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6507,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6723,E_M_Russell_Howard(10).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6347,E_M_Ewan_McGregor(3).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4867,P_M_jeremy_corbyn(2).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
5351,E_M_Michael_McIntyr(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3046,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
12593,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4376,E_F_Jennifer_Saunders.png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6673,E_M_Russell_Howard(10).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
3742,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
6570,E_M_Michael_McIntyr(8).png,P_M_david_camer(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4013,E_F_Julie_Walters(20).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2710,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
2537,E_F_Julie_Walters(20).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
4121,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fe93b6dad8fba884beb4035,"10/27/2022, 14:00:55"
