RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3254,E_M_Jimmy_Carr(5).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3515,E_M_Ewan_McGregor(3).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3350,E_M_Michael_McIntyr(8).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3318,E_F_Julie_Walters(20).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3346,E_M_Jimmy_Carr(5).png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4811,P_M_david_camer(14).png,P_M_Gordon_Brown(19).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2021,E_M_Ewan_McGregor(3).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3720,E_M_Simon_Pegg(8).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3071,E_F_Sarah_Millican(1).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
5159,E_M_Simon_Pegg(8).png,P_F_Theresa_May(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3080,E_M_Ewan_McGregor(3).png,E_M_Simon_Pegg(8).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3812,E_F_Julie_Walters(20).png,E_M_Jimmy_Carr(5).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2922,E_F_Dawn_Roma(4).png,E_F_Jennifer_Saunders.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2239,E_M_Peter_Kay(3).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4367,P_M_david_camer(14).png,P_M_keir_starmer(6).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1931,E_F_Sarah_Millican(1).png,P_M_Sajid_Javid(4).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2328,E_M_Jimmy_Carr(5).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2108,E_F_Dawn_Roma(4).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1879,E_F_Jennifer_Saunders.png,E_M_Russell_Howard(10).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2324,P_F_nicola_sturge(10).png,P_M_Michael_Gove(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7757,E_M_Michael_McIntyr(8).png,P_M_keir_starmer(6).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2881,E_M_Russell_Howard(10).png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
1991,E_M_Simon_Pegg(8).png,P_M_Gordon_Brown(19).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
7288,E_F_Dawn_Roma(4).png,P_M_jeremy_corbyn(2).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4804,P_M_Gordon_Brown(19).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2670,E_M_Simon_Pegg(8).png,P_M_Michael_Gove(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
2735,E_F_Jennifer_Saunders.png,P_F_nicola_sturge(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
6123,E_M_Jimmy_Carr(5).png,E_M_Peter_Kay(3).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
4056,P_M_nigel_farage(5).png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
3991,E_F_Sarah_Millican(1).png,P_M_nigel_farage(5).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,61485d798b28686872fb9c7b,"10/27/2022, 14:19:50"
