"","E_F_Dawn_Roma_French.png","E_F_Jennifer_Saunders.png","E_F_Julie_Walters.png","E_F_Sarah_Millican.png","E_M_Ewan_McGregor.png","E_M_Jimmy_Carr.png","E_M_Michael_McIntyr.png","E_M_Peter_Kay.png","E_M_Russell_Howard.png","E_M_Simon_Pegg.png","P_F_nicola_sturge.png","P_F_Theresa_May.png","P_M_david_camer.png","P_M_Gordon_Brown.png","P_M_jeremy_corbyn.png","P_M_keir_starmer.png","P_M_Michael_Gove.png","P_M_nigel_farage.png","P_M_Sajid_Javid.png","P_M_Tony_Blair.png"
"E_F_Dawn_Roma_French.png",NA,5,4.78571428571429,4.64705882352941,4.125,4.46666666666667,4.75,5.38888888888889,5.29411764705882,5,5.125,4.9,5.26666666666667,5.125,5.47058823529412,5.5625,5.33333333333333,5.46666666666667,5.5,5.46153846153846
"E_F_Jennifer_Saunders.png",5,NA,2.75,5.33333333333333,5.14285714285714,5.69230769230769,5.23076923076923,5.73333333333333,4.92857142857143,5.125,3.92307692307692,4.25,4.83333333333333,5.38461538461539,5.14285714285714,4.625,5.4,5.69230769230769,5.71428571428571,4.91666666666667
"E_F_Julie_Walters.png",4.78571428571429,2.75,NA,4.78571428571429,5,5.07692307692308,4.66666666666667,5.42857142857143,4.85714285714286,4.57142857142857,3.15384615384615,4,5,4.46153846153846,4.53846153846154,5.33333333333333,5,5.38461538461539,5.30769230769231,5.09090909090909
"E_F_Sarah_Millican.png",4.64705882352941,5.33333333333333,4.78571428571429,NA,5.42857142857143,5,4.93333333333333,4.94117647058824,5.4375,5,5.66666666666667,5.66666666666667,5.42857142857143,5.26666666666667,4.8125,5.06666666666667,4.35294117647059,5.13333333333333,5.125,5.30769230769231
"E_M_Ewan_McGregor.png",4.125,5.14285714285714,5,5.42857142857143,NA,4.57142857142857,4.75,5.125,3.25,5.5,5.33333333333333,5.33333333333333,4.83333333333333,4.42857142857143,4.28571428571429,5.125,5.375,5.16666666666667,6,5
"E_M_Jimmy_Carr.png",4.46666666666667,5.69230769230769,5.07692307692308,5,4.57142857142857,NA,4.35714285714286,5.2,4.46666666666667,5.33333333333333,5.07692307692308,5.75,5.07692307692308,4.30769230769231,5.14285714285714,4.53846153846154,5.33333333333333,4.85714285714286,5.42857142857143,4.53846153846154
"E_M_Michael_McIntyr.png",4.75,5.23076923076923,4.66666666666667,4.93333333333333,4.75,4.35714285714286,NA,4.8125,4.53333333333333,4.88888888888889,5.07142857142857,5.1,5.21428571428571,4.07142857142857,5.6,5.21428571428571,5.0625,5.21428571428571,5.28571428571429,5.41666666666667
"E_M_Peter_Kay.png",5.38888888888889,5.73333333333333,5.42857142857143,4.94117647058824,5.125,5.2,4.8125,NA,5.47058823529412,5.44444444444444,5.4375,5.9,4.6,4,5.47058823529412,5,5.55555555555556,5.6,5.5,5.38461538461539
"E_M_Russell_Howard.png",5.29411764705882,4.92857142857143,4.85714285714286,5.4375,3.25,4.46666666666667,4.53333333333333,5.47058823529412,NA,4.88888888888889,5.06666666666667,4.33333333333333,5.64285714285714,4.73333333333333,4.5625,5.2,5.35294117647059,4.71428571428571,5.2,4.23076923076923
"E_M_Simon_Pegg.png",5,5.125,4.57142857142857,5,5.5,5.33333333333333,4.88888888888889,5.44444444444444,4.88888888888889,NA,4.85714285714286,5,5.71428571428571,5.85714285714286,3.875,5.375,4.66666666666667,4.875,4.66666666666667,4.33333333333333
"P_F_nicola_sturge.png",5.125,3.92307692307692,3.15384615384615,5.66666666666667,5.33333333333333,5.07692307692308,5.07142857142857,5.4375,5.06666666666667,4.85714285714286,NA,4.55555555555556,5.13333333333333,5.57142857142857,5.6875,5.14285714285714,5.1875,4.92857142857143,5.14285714285714,5.63636363636364
"P_F_Theresa_May.png",4.9,4.25,4,5.66666666666667,5.33333333333333,5.75,5.1,5.9,4.33333333333333,5,4.55555555555556,NA,5.66666666666667,5.5,5.4,5.22222222222222,4.8,5.625,5.88888888888889,5.14285714285714
