"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
5277,"P_F_hillary_clinton.png","P_M_bill_clinton.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","P_F_hillary_clinton.png P_M_bill_clinton.png",-0.129053166837569,"33","Female","left",0,0,FALSE
7914,"E_F_angelina_jolie.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_angelina_jolie.png P_M_david_cameron.png",0.779098747945323,"33","Female","left",0,1,FALSE
3049,"P_F_hillary_clinton.png","P_M_george_Wbush.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","3","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","P_F_hillary_clinton.png P_M_george_Wbush.png",-1.03720508162046,"33","Female","left",0,0,FALSE
6249,"E_F_keira_knightley.png","P_F_nicola_sturgeon.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_keira_knightley.png P_F_nicola_sturgeon.png",-0.129053166837569,"33","Female","left",0,0,FALSE
5134,"P_F_hillary_clinton.png","P_F_nicola_sturgeon.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","P_F_hillary_clinton.png P_F_nicola_sturgeon.png",-0.129053166837569,"33","Female","left",0,0,FALSE
3649,"E_M_nicolas_cage.png","P_M_boris_johnson.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_nicolas_cage.png P_M_boris_johnson.png",0.779098747945323,"33","Female","left",0,1,FALSE
4798,"E_F_Judi_Dench.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_Judi_Dench.png P_M_george_Wbush.png",-0.129053166837569,"33","Female","left",0,0,FALSE
4700,"E_F_keira_knightley.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_keira_knightley.png P_M_Tony_Blair.png",0.779098747945323,"33","Female","left",0,1,FALSE
2898,"E_M_robert_de_niro.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_robert_de_niro.png P_M_david_cameron.png",-1.03720508162046,"33","Female","left",0,1,FALSE
3899,"E_M_michael_caine.png","E_M_robert_de_niro.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","2","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_michael_caine.png E_M_robert_de_niro.png",-1.94535699640335,"33","Female","left",0,0,FALSE
5548,"E_F_jennifer_aniston.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","4","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_jennifer_aniston.png P_M_george_Wbush.png",-0.129053166837569,"33","Female","left",0,0,FALSE
2201,"E_M_nicolas_cage.png","P_M_david_cameron.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","3","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_nicolas_cage.png P_M_david_cameron.png",-1.03720508162046,"33","Female","left",0,1,FALSE
1951,"E_F_keira_knightley.png","E_M_michael_caine.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_keira_knightley.png E_M_michael_caine.png",0.779098747945323,"33","Female","left",0,0,FALSE
2180,"E_M_robert_de_niro.png","P_F_hillary_clinton.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_M_robert_de_niro.png P_F_hillary_clinton.png",0.779098747945323,"33","Female","left",0,0,FALSE
2299,"E_F_sandra_bullock.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","571b3de05d40840013c49f3a","05/04/2022, 10:14:16","E_F_sandra_bullock.png P_M_george_Wbush.png",0.779098747945323,"33","Female","left",0,0,FALSE
