RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4927,E_F_angelina_jolie.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2997,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3628,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3780,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2772,E_F_keira_knightley.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3290,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2273,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2927,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2617,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3239,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2054,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
4690,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2661,P_F_nicola_sturgeon.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
6133,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3494,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3861,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
2780,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
3347,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ad44f87459c35000113830e,"05/04/2022, 10:16:38"
