RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7506,E_F_Kate_Winslet.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6966,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
13732,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6978,P_F_nicola_sturgeon.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7696,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9480,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6912,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
10550,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8216,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
20582,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9644,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
14466,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
12912,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7015,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
15733,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
20664,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
13249,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8596,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
12013,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7796,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
18483,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9747,E_M_tom_hankes.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
10948,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
18783,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9117,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
11646,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
10060,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9312,E_M_nicolas_cage.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7863,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6283,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6827,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
11216,P_F_hillary_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
2830,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
5413,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
15233,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
2430,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
4213,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9946,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7697,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
15546,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7915,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
3031,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7330,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9977,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
9100,E_F_sandra_bullock.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
10045,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7060,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
12014,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
11946,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8098,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
8183,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
2895,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
23099,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
16100,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
6718,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
7797,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd5e34157a78e001c1bbf99,"05/04/2022, 10:47:09"
