RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
23959,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6797,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8124,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
3868,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
8124,E_M_robert_de_niro.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9439,E_M_Hugh_Grant.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9214,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
16051,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
6795,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
12662,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
9235,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
4191,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d947f03024f0d00191c9f80,"05/04/2022, 11:15:48"
