RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
8037,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5483,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6264,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5488,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5361,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4612,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4729,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3990,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5613,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5706,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
5268,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6328,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
6987,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4231,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4763,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
4561,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
3667,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fbaab3a72702f86dacb4152,"05/04/2022, 10:46:42"
