RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
4365,P_M_boris_johnson.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2359,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2647,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3479,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2430,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2991,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1864,E_F_angelina_jolie.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3448,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2095,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
3223,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2200,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1768,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2007,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1664,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2119,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
2616,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1807,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
1759,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60aa817bc03dba2890522f2f,"05/04/2022, 10:25:38"
