RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4657,E_F_angelina_jolie.png,E_F_Judi_Dench.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5657,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
4528,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
7052,E_M_robert_de_niro.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2482,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2221,E_F_jennifer_aniston.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
11594,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
6445,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2677,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
8136,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3384,P_F_hillary_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2555,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3658,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3713,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2499,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
1893,E_F_sandra_bullock.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2729,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3772,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3029,E_M_tom_hankes.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2752,E_F_Kate_Winslet.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3097,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
3378,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
2399,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
8859,E_F_Judi_Dench.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
5059,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
80315,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,60e3fa63e9b13df2a6cef41c,"05/04/2022, 10:37:19"
