RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
6220,E_M_nicolas_cage.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4098,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2444,E_F_keira_knightley.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
6695,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
7657,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
8212,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2798,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3357,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
4558,E_M_michael_caine.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3305,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
6385,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2828,E_F_Judi_Dench.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
2308,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3562,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
3440,E_M_tom_hankes.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,611cecb5dbc0658aad64bf2d,"05/04/2022, 10:33:20"
