RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3173,E_F_keira_knightley.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
6871,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3184,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2460,P_M_donald_trump.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4164,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4463,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2787,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4397,E_F_keira_knightley.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4344,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3527,E_M_robert_de_niro.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
5377,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
5439,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2437,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2415,E_M_tom_hankes.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3312,E_F_Kate_Winslet.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2963,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2055,E_M_robert_de_niro.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2532,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2684,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2600,P_M_donald_trump.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2621,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2733,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2308,E_F_angelina_jolie.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3374,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3322,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2842,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2676,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2060,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2067,E_M_robert_de_niro.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3528,E_F_sandra_bullock.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4304,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1908,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2429,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2027,E_F_Kate_Winslet.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4979,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3085,E_M_nicolas_cage.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3147,E_F_Kate_Winslet.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2671,E_M_Hugh_Grant.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2996,E_F_keira_knightley.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3225,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2434,E_M_nicolas_cage.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2510,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4730,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4053,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3752,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2343,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3331,P_M_bill_clinton.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3068,E_F_jennifer_aniston.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2624,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3069,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2745,E_F_jennifer_aniston.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2451,P_F_tehresy_may.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2672,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3409,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2699,E_M_nicolas_cage.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2774,E_F_sandra_bullock.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4662,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4671,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3636,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
5161,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3277,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3539,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2679,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3473,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3398,E_F_keira_knightley.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3445,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2406,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2091,E_F_Judi_Dench.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3914,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
3430,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
4418,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
10350,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2090,E_F_angelina_jolie.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2634,E_F_Judi_Dench.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2325,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2128,E_M_nicolas_cage.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2470,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2938,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
2974,E_F_sandra_bullock.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
1926,P_M_boris_johnson.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
8119,E_F_angelina_jolie.png,E_F_jennifer_aniston.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6150e5601a0e7a3fbcfb9bfb,"05/04/2022, 10:22:48"
