pair,img_1,img_2,keyPressed
E_F_angelina_jolie.jpg E_F_jennifer_aniston.jpg,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,0.23137063
E_F_angelina_jolie.jpg E_F_Judi_Dench.jpg,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,0.27585232
E_F_angelina_jolie.jpg E_F_Kate_Winslet.jpg,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,0.22570527
E_F_angelina_jolie.jpg E_F_keira_knightley.jpg,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,0.18978524
E_F_angelina_jolie.jpg E_F_sandra_bullock.jpg,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,0.23009175
E_F_angelina_jolie.jpg E_M_Hugh_Grant.jpg,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,0.28058827
E_F_angelina_jolie.jpg E_M_michael_caine.jpg,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,0.4213562
E_F_angelina_jolie.jpg E_M_nicolas_cage.jpg,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,0.33265442
E_F_angelina_jolie.jpg E_M_robert_de_niro.jpg,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,0.4695189
E_F_angelina_jolie.jpg E_M_tom_hankes.jpg,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,0.33192313
E_F_angelina_jolie.jpg P_F_hillary_clinton.jpg,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,0.29896528
E_F_angelina_jolie.jpg P_F_nicola_sturgeon.jpg,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,0.43635422
E_F_angelina_jolie.jpg P_F_tehresy_may.jpg,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,0.47689694
E_F_angelina_jolie.jpg P_M_bill_clinton.jpg,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,0.4090709
E_F_angelina_jolie.jpg P_M_boris_johnson.jpg,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,0.47148508
E_F_angelina_jolie.jpg P_M_david_cameron.jpg,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,0.4256354
E_F_angelina_jolie.jpg P_M_donald_trump.jpg,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,0.41906524
E_F_angelina_jolie.jpg P_M_george_Wbush.jpg,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,0.43699127
E_F_angelina_jolie.jpg P_M_Tony_Blair.jpg,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,0.40288764
E_F_jennifer_aniston.jpg E_F_Judi_Dench.jpg,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,0.3295486
E_F_jennifer_aniston.jpg E_F_Kate_Winslet.jpg,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,0.20973092
E_F_jennifer_aniston.jpg E_F_keira_knightley.jpg,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,0.22060925
E_F_jennifer_aniston.jpg E_F_sandra_bullock.jpg,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,0.22589666
E_F_jennifer_aniston.jpg E_M_Hugh_Grant.jpg,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,0.28001237
E_F_jennifer_aniston.jpg E_M_michael_caine.jpg,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,0.446913
E_F_jennifer_aniston.jpg E_M_nicolas_cage.jpg,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,0.30888838
