pair,img_1,img_2,keyPressed
E_F_angelina_jolie.jpg E_F_jennifer_aniston.jpg,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,0.840930551
E_F_angelina_jolie.jpg E_F_Judi_Dench.jpg,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,0.90875227
E_F_angelina_jolie.jpg E_F_Kate_Winslet.jpg,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,0.730546772
E_F_angelina_jolie.jpg E_F_keira_knightley.jpg,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,0.719180852
E_F_angelina_jolie.jpg E_F_sandra_bullock.jpg,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,0.85419561
E_F_angelina_jolie.jpg E_M_Hugh_Grant.jpg,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,0.79582487
E_F_angelina_jolie.jpg E_M_michael_caine.jpg,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,0.937812146
E_F_angelina_jolie.jpg E_M_nicolas_cage.jpg,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,0.850851595
E_F_angelina_jolie.jpg E_M_robert_de_niro.jpg,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,0.959476084
E_F_angelina_jolie.jpg E_M_tom_hankes.jpg,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,0.876640044
E_F_angelina_jolie.jpg P_F_hillary_clinton.jpg,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,0.868957117
E_F_angelina_jolie.jpg P_F_nicola_sturgeon.jpg,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,0.931106508
E_F_angelina_jolie.jpg P_F_theresa_may.jpg,E_F_angelina_jolie.jpg,P_F_theresa_may.jpg,0.94234553
E_F_angelina_jolie.jpg P_M_bill_clinton.jpg,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,0.916872665
E_F_angelina_jolie.jpg P_M_boris_johnson.jpg,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,0.943420924
E_F_angelina_jolie.jpg P_M_david_cameron.jpg,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,0.929006256
E_F_angelina_jolie.jpg P_M_donald_trump.jpg,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,0.932176784
E_F_angelina_jolie.jpg P_M_george_Wbush.jpg,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,0.924439996
E_F_angelina_jolie.jpg P_M_Tony_Blair.jpg,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,0.81601128
E_F_jennifer_aniston.jpg E_F_Judi_Dench.jpg,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,0.875770412
E_F_jennifer_aniston.jpg E_F_Kate_Winslet.jpg,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,0.786350593
E_F_jennifer_aniston.jpg E_F_keira_knightley.jpg,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,0.779793724
E_F_jennifer_aniston.jpg E_F_sandra_bullock.jpg,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,0.753104746
E_F_jennifer_aniston.jpg E_M_Hugh_Grant.jpg,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,0.81994532
