"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","reject_trial"
2867,"E_F_Judi_Dench.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png E_M_tom_hankes.png",0.359724757552318,"27","Female","right",1,0,FALSE
2565,"E_F_angelina_jolie.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_M_tom_hankes.png",0.359724757552318,"27","Female","right",0,0,FALSE
6814,"E_M_robert_de_niro.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_robert_de_niro.png P_F_tehresy_may.png",0.359724757552318,"27","Female","right",1,0,FALSE
8014,"E_F_jennifer_aniston.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_jennifer_aniston.png P_F_tehresy_may.png",0.359724757552318,"27","Female","right",0,0,FALSE
4007,"E_F_angelina_jolie.png","E_M_nicolas_cage.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png E_M_nicolas_cage.png",0.359724757552318,"27","Female","right",0,0,FALSE
4934,"P_F_nicola_sturgeon.png","P_F_tehresy_may.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F","3","595fa59caa841c00018d7225","05/06/2022, 10:54:19","P_F_nicola_sturgeon.png P_F_tehresy_may.png",-4.00289464255026,"27","Female","right",1,0,FALSE
7743,"E_F_keira_knightley.png","E_F_sandra_bullock.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F","4","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_keira_knightley.png E_F_sandra_bullock.png",-2.5486881758494,"27","Female","right",1,1,FALSE
4919,"E_M_Hugh_Grant.png","E_M_tom_hankes.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_M_Hugh_Grant.png E_M_tom_hankes.png",0.359724757552318,"27","Female","right",1,0,FALSE
2654,"E_F_sandra_bullock.png","P_M_george_Wbush.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_sandra_bullock.png P_M_george_Wbush.png",0.359724757552318,"27","Female","right",1,1,FALSE
3958,"E_F_angelina_jolie.png","P_F_tehresy_may.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_angelina_jolie.png P_F_tehresy_may.png",0.359724757552318,"27","Female","right",0,0,FALSE
4886,"E_F_Judi_Dench.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","595fa59caa841c00018d7225","05/06/2022, 10:54:19","E_F_Judi_Dench.png P_M_Tony_Blair.png",0.359724757552318,"27","Female","right",1,0,FALSE
