RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
2867,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
2565,E_F_angelina_jolie.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
6814,E_M_robert_de_niro.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
8014,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4007,E_F_angelina_jolie.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4934,P_F_nicola_sturgeon.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7743,E_F_keira_knightley.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4919,E_M_Hugh_Grant.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
2654,E_F_sandra_bullock.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3958,E_F_angelina_jolie.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4886,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3662,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3134,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
2334,E_F_angelina_jolie.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3575,E_F_angelina_jolie.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3702,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3029,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4855,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3830,E_F_sandra_bullock.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4222,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7415,E_F_Kate_Winslet.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
6047,E_M_michael_caine.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
11686,E_F_angelina_jolie.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4910,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5735,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5063,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3214,E_F_jennifer_aniston.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5822,P_F_nicola_sturgeon.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7391,E_F_angelina_jolie.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5239,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7839,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
3943,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5703,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7558,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
5855,P_F_hillary_clinton.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
9103,E_M_michael_caine.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4174,P_F_nicola_sturgeon.png,P_M_bill_clinton.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
6255,E_F_Judi_Dench.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
8239,E_F_jennifer_aniston.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
6870,P_M_bill_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7622,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4398,P_M_boris_johnson.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
10303,P_M_bill_clinton.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
7535,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4503,E_M_michael_caine.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
12134,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
4854,E_F_Judi_Dench.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,595fa59caa841c00018d7225,"05/06/2022, 10:54:19"
