RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4582,E_M_nicolas_cage.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5680,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3318,E_F_sandra_bullock.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
7066,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
4534,E_F_Judi_Dench.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6295,P_F_hillary_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
6228,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
3211,E_F_keira_knightley.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
2957,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
5801,E_F_Judi_Dench.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59712abaafd8a4000160ff35,"05/06/2022, 10:51:38"
