RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6793,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7621,P_M_david_cameron.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6048,E_F_Kate_Winslet.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5831,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5354,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6232,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4430,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4804,P_M_david_cameron.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4386,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7479,E_M_Hugh_Grant.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
10598,E_F_sandra_bullock.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6522,E_F_keira_knightley.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6702,P_M_bill_clinton.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5436,E_F_jennifer_aniston.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6614,E_F_Kate_Winslet.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5326,E_F_angelina_jolie.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3062,E_F_sandra_bullock.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3451,E_F_jennifer_aniston.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
10296,P_F_tehresy_may.png,P_M_donald_trump.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3838,E_M_michael_caine.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4218,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3136,E_F_sandra_bullock.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4328,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
8911,E_M_michael_caine.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6973,E_M_Hugh_Grant.png,E_M_michael_caine.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
6326,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4549,E_F_Kate_Winslet.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
3634,E_M_nicolas_cage.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4371,E_F_jennifer_aniston.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5032,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4252,E_M_tom_hankes.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
7359,E_M_tom_hankes.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
5383,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4616,E_M_nicolas_cage.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4308,P_F_tehresy_may.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4291,E_F_keira_knightley.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
4136,E_F_Judi_Dench.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5c83d4580ed0dd0001419d8a,"05/06/2022, 10:59:21"
