RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5550,E_M_michael_caine.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5030,E_F_Judi_Dench.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
9518,E_F_jennifer_aniston.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6150,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
10219,P_M_bill_clinton.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3951,E_F_Kate_Winslet.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
6230,E_F_jennifer_aniston.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5847,E_F_jennifer_aniston.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
4134,E_F_angelina_jolie.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
7797,E_F_Judi_Dench.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3098,E_F_angelina_jolie.png,E_F_Kate_Winslet.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3184,E_F_Kate_Winslet.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
1983,E_F_jennifer_aniston.png,E_F_sandra_bullock.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5666,E_F_jennifer_aniston.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5750,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3316,E_F_Judi_Dench.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
5050,E_F_jennifer_aniston.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
3732,P_F_hillary_clinton.png,P_F_tehresy_may.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
2899,E_F_Judi_Dench.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d3cbfd33dcf870019c76677,"05/06/2022, 11:02:51"
