RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
6780,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5206,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5246,P_F_tehresy_may.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4347,P_F_tehresy_may.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
5999,E_F_jennifer_aniston.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
6774,E_F_angelina_jolie.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
7086,P_F_nicola_sturgeon.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
274322,E_M_tom_hankes.png,P_M_donald_trump.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2138,E_F_Judi_Dench.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2943,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
1774,E_F_Judi_Dench.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2996,E_M_michael_caine.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
2159,P_M_george_Wbush.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3866,E_F_Kate_Winslet.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
3832,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
4098,E_M_tom_hankes.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f3be3abb12c9a95ced9c63f,"05/06/2022, 11:42:50"
