RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
5154,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4521,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4508,E_M_robert_de_niro.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4630,P_F_hillary_clinton.png,P_F_nicola_sturgeon.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4040,E_F_sandra_bullock.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3067,E_M_Hugh_Grant.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4357,P_M_david_cameron.png,P_M_george_Wbush.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
5890,E_F_keira_knightley.png,P_F_hillary_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
5538,E_F_Kate_Winslet.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4682,E_F_angelina_jolie.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
4557,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
3862,E_F_jennifer_aniston.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fa3f95e37e424055200c834,"05/06/2022, 10:50:33"
