RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6977,E_M_michael_caine.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5974,E_M_tom_hankes.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2765,E_M_michael_caine.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4596,P_F_hillary_clinton.png,P_M_boris_johnson.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
3932,E_F_jennifer_aniston.png,E_F_keira_knightley.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2689,E_M_Hugh_Grant.png,P_F_nicola_sturgeon.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4444,E_M_michael_caine.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
6354,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
4644,E_F_Kate_Winslet.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
2858,P_F_tehresy_may.png,P_M_Tony_Blair.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
5090,E_M_michael_caine.png,P_F_tehresy_may.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b3b9173490db5d024e9886,"05/06/2022, 10:48:20"
