RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3441,E_F_keira_knightley.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4621,E_M_Hugh_Grant.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3499,E_F_keira_knightley.png,P_M_david_cameron.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3707,E_M_robert_de_niro.png,P_M_george_Wbush.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3949,E_M_robert_de_niro.png,P_M_bill_clinton.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
5334,P_M_boris_johnson.png,P_M_david_cameron.png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3456,E_F_Judi_Dench.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3703,E_M_nicolas_cage.png,E_M_tom_hankes.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4084,E_M_Hugh_Grant.png,E_M_robert_de_niro.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
6849,E_F_Kate_Winslet.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3520,E_F_Kate_Winslet.png,E_M_Hugh_Grant.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3304,E_M_Hugh_Grant.png,E_M_nicolas_cage.png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3105,E_F_keira_knightley.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4186,E_M_robert_de_niro.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
3892,E_M_Hugh_Grant.png,P_M_boris_johnson.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
4156,E_M_Hugh_Grant.png,P_M_Tony_Blair.png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,615d74e5910ab5aa13e15292,"05/06/2022, 10:54:41"
