RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5019,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5572,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3087,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4521,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
6757,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3378,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
6033,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3066,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2921,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4316,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3009,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4565,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2734,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4044,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3338,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3092,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2488,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2696,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3740,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2699,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3193,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3256,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2929,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3267,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2520,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2483,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3740,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3154,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3002,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2919,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4167,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2785,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2708,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3231,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2552,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2565,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2678,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3165,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5164,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3918,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2473,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2403,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2765,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3057,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3481,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2527,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2551,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2498,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2626,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2776,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2802,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2809,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2686,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5546,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4272,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3868,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2655,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2710,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3404,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2940,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2776,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3727,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2622,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5286,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2716,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2895,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4077,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2426,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3037,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2381,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2588,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3681,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3228,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3495,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3296,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4749,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
