RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4498,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5059,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4635,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5552,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4135,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
7740,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5253,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2990,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4617,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6035,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3664,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4887,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
7048,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3790,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3558,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4918,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5989,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4339,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3357,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3347,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4282,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4532,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3635,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
2873,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3356,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3829,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
8185,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
6605,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
7568,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5736,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
20664,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
