RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6669,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8560,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8749,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6793,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4398,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
12160,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
10225,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4623,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5759,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
9528,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6467,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5950,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4443,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4948,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8065,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4679,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7684,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
14770,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
13409,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
9911,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
19843,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
22105,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
9812,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3047,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5656,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4826,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4207,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3890,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7044,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4262,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
13522,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8269,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4272,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
13061,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6570,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7470,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3563,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2934,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3712,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3261,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7851,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3936,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
15040,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8988,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4476,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3252,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4653,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4105,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2608,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8929,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
11620,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3419,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7538,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4913,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4251,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4330,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3430,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4287,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6760,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3360,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5342,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2710,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3406,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3947,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3736,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4285,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6579,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4444,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3651,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7761,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3013,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6771,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2890,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
