RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
9742,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5232,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6440,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
6086,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4614,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3074,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3928,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3341,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2870,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3896,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4957,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3967,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4713,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2413,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4097,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3537,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3860,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
5472,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3054,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2724,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2841,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3857,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4924,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4234,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
3025,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
4924,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
2794,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b65b2773662a8000158c788,"04/25/2022, 19:43:33"
