RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6208,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5371,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
5912,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3341,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4327,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4941,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3772,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
26315,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3860,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2995,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6328,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2813,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2920,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2902,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
