RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4480,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3947,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2962,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3584,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3493,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
7691,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3067,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2356,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3085,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2983,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
