RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
9010,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
7412,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3752,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4867,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
8116,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
5396,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3773,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3927,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4960,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
6645,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
4646,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3485,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
3069,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6129178185eec14208a3e247,"04/25/2022, 19:47:42"
