RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
11201,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4768,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4370,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3404,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3008,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5670,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
7091,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3170,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5153,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
9630,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
