"","E_F_angelina_jolie.jpg","E_F_jennifer_aniston.jpg","E_F_Judi_Dench.jpg","E_F_Kate_Winslet.jpg","E_F_keira_knightley.jpg","E_F_sandra_bullock.jpg","E_M_Hugh_Grant.jpg","E_M_michael_caine.jpg","E_M_nicolas_cage.jpg","E_M_robert_de_niro.jpg","E_M_tom_hankes.jpg","P_F_hillary_clinton.jpg","P_F_nicola_sturgeon.jpg","P_F_tehresy_may.jpg","P_M_bill_clinton.jpg","P_M_boris_johnson.jpg","P_M_david_cameron.jpg","P_M_donald_trump.jpg","P_M_george_Wbush.jpg","P_M_Tony_Blair.jpg"
"E_F_angelina_jolie.jpg",NA,1.84210526315789,2.89473684210526,2.15,2.25,1.8,3.52631578947368,4,3.47058823529412,3.35,3.05,4.55,5.26315789473684,5.35,5.4,5.8,5.7,5.75,5.8,5.65
"E_F_jennifer_aniston.jpg",1.84210526315789,NA,2.73684210526316,2.15789473684211,2,1.73684210526316,3.26315789473684,4,3.5625,3.42105263157895,3.21052631578947,4.57894736842105,5.21052631578947,5.42105263157895,5.31578947368421,5.84210526315789,5.84210526315789,5.84210526315789,5.63157894736842,5.73684210526316
"E_F_Judi_Dench.jpg",2.89473684210526,2.73684210526316,NA,2.57894736842105,2.68421052631579,2.78947368421053,3.15789473684211,3.6,3.625,3.73684210526316,3.57894736842105,4.73684210526316,4.68421052631579,4.42105263157895,5.57894736842105,5.21052631578947,5.26315789473684,5.68421052631579,5.57894736842105,5.36842105263158
"E_F_Kate_Winslet.jpg",2.15,2.15789473684211,2.57894736842105,NA,1.8,2.45,3,3.8125,3.64705882352941,3.45,3.35,4.85,5.10526315789474,4.9,5.65,5.6,5.7,5.75,5.85,5.35
"E_F_keira_knightley.jpg",2.25,2,2.68421052631579,1.8,NA,2.45,2.94736842105263,3.6875,3.35294117647059,3.65,3.55,5.2,5.10526315789474,5.2,5.5,5.7,5.3,5.85,5.85,5.6
"E_F_sandra_bullock.jpg",1.8,1.73684210526316,2.78947368421053,2.45,2.45,NA,3.15789473684211,3.875,3.64705882352941,3.25,2.9,4.8,5.10526315789474,5,5.5,5.75,5.65,5.8,5.65,5.45
"E_M_Hugh_Grant.jpg",3.52631578947368,3.26315789473684,3.15789473684211,3,2.94736842105263,3.15789473684211,NA,2.86666666666667,2.5,2.68421052631579,2.52631578947368,5.31578947368421,5.36842105263158,5,4.78947368421053,4.63157894736842,4.05263157894737,5.21052631578947,4.94736842105263,4
"E_M_michael_caine.jpg",4,4,3.6,3.8125,3.6875,3.875,2.86666666666667,NA,2.46666666666667,2.75,2.5625,5.125,5.66666666666667,5.0625,4.625,4.6875,4.4375,4.875,4.8125,4.75
"E_M_nicolas_cage.jpg",3.47058823529412,3.5625,3.625,3.64705882352941,3.35294117647059,3.64705882352941,2.5,2.46666666666667,NA,2.29411764705882,2.47058823529412,5.41176470588235,5.5625,5.64705882352941,4.70588235294118,5.35294117647059,4.70588235294118,5.29411764705882,5.05882352941176,5.11764705882353
"E_M_robert_de_niro.jpg",3.35,3.42105263157895,3.73684210526316,3.45,3.65,3.25,2.68421052631579,2.75,2.29411764705882,NA,2.35,5.15,5.78947368421053,5.65,4.65,5.2,5.1,4.9,4.9,4.95
"E_M_tom_hankes.jpg",3.05,3.21052631578947,3.57894736842105,3.35,3.55,2.9,2.52631578947368,2.5625,2.47058823529412,2.35,NA,5.3,5.78947368421053,5.65,4.75,5.3,5,5.35,4.95,5.15
"P_F_hillary_clinton.jpg",4.55,4.57894736842105,4.73684210526316,4.85,5.2,4.8,5.31578947368421,5.125,5.41176470588235,5.15,5.3,NA,2.73684210526316,2.3,1.95,3.2,2.8,3.15,2.65,2.95
"P_F_nicola_sturgeon.jpg",5.26315789473684,5.21052631578947,4.68421052631579,5.10526315789474,5.10526315789474,5.10526315789474,5.36842105263158,5.66666666666667,5.5625,5.78947368421053,5.78947368421053,2.73684210526316,NA,2.21052631578947,3.42105263157895,3.26315789473684,3.15789473684211,4,3.63157894736842,2.94736842105263
"P_F_tehresy_may.jpg",5.35,5.42105263157895,4.42105263157895,4.9,5.2,5,5,5.0625,5.64705882352941,5.65,5.65,2.3,2.21052631578947,NA,3.25,2.3,2.25,3.3,2.8,2.75
"P_M_bill_clinton.jpg",5.4,5.31578947368421,5.57894736842105,5.65,5.5,5.5,4.78947368421053,4.625,4.70588235294118,4.65,4.75,1.95,3.42105263157895,3.25,NA,2.35,2.4,2.65,2.1,2.55
"P_M_boris_johnson.jpg",5.8,5.84210526315789,5.21052631578947,5.6,5.7,5.75,4.63157894736842,4.6875,5.35294117647059,5.2,5.3,3.2,3.26315789473684,2.3,2.35,NA,1.9,2.05,2.35,2.3
"P_M_david_cameron.jpg",5.7,5.84210526315789,5.26315789473684,5.7,5.3,5.65,4.05263157894737,4.4375,4.70588235294118,5.1,5,2.8,3.15789473684211,2.25,2.4,1.9,NA,2.85,2.4,2.05
"P_M_donald_trump.jpg",5.75,5.84210526315789,5.68421052631579,5.75,5.85,5.8,5.21052631578947,4.875,5.29411764705882,4.9,5.35,3.15,4,3.3,2.65,2.05,2.85,NA,2.5,3.1
"P_M_george_Wbush.jpg",5.8,5.63157894736842,5.57894736842105,5.85,5.85,5.65,4.94736842105263,4.8125,5.05882352941176,4.9,4.95,2.65,3.63157894736842,2.8,2.1,2.35,2.4,2.5,NA,2.25
"P_M_Tony_Blair.jpg",5.65,5.73684210526316,5.36842105263158,5.35,5.6,5.45,4,4.75,5.11764705882353,4.95,5.15,2.95,2.94736842105263,2.75,2.55,2.3,2.05,3.1,2.25,NA
