"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"5019","E_F_angelina_jolie.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_angelina_jolie.jpg P_F_tehresy_may.jpg",0.987383795554003,"30","Female","right"
"5572","E_F_jennifer_aniston.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_jennifer_aniston.jpg P_M_bill_clinton.jpg",0.987383795554003,"30","Female","right"
"3087","E_M_nicolas_cage.jpg","P_M_boris_johnson.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_M_nicolas_cage.jpg P_M_boris_johnson.jpg",-0.0755222733143287,"30","Female","right"
"4521","E_M_Hugh_Grant.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_M_Hugh_Grant.jpg P_F_nicola_sturgeon.jpg",0.987383795554003,"30","Female","right"
"6757","E_F_angelina_jolie.jpg","P_F_hillary_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",3,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_angelina_jolie.jpg P_F_hillary_clinton.jpg",-0.606975307748495,"30","Female","right"
"3378","E_F_Judi_Dench.jpg","E_F_keira_knightley.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_Judi_Dench.jpg E_F_keira_knightley.jpg",-0.606975307748495,"30","Female","right"
"6033","P_M_david_cameron.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",1,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","P_M_david_cameron.jpg P_M_Tony_Blair.jpg",-1.66988137661683,"30","Female","right"
"3066","E_F_Judi_Dench.jpg","P_F_tehresy_may.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",2,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_Judi_Dench.jpg P_F_tehresy_may.jpg",-1.13842834218266,"30","Female","right"
"2921","E_F_keira_knightley.jpg","E_M_robert_de_niro.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_keira_knightley.jpg E_M_robert_de_niro.jpg",0.987383795554003,"30","Female","right"
"4316","E_F_jennifer_aniston.jpg","E_F_sandra_bullock.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",1,"57acc170c6bab4000172a42e","04/25/2022, 19:39:34","E_F_jennifer_aniston.jpg E_F_sandra_bullock.jpg",-1.66988137661683,"30","Female","right"
