RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5234,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6426,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
6204,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5731,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4953,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3578,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2302,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4740,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3605,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4790,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2038,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2425,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3276,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
4299,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2675,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2570,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2564,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2762,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2955,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2623,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3325,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3916,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3050,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2575,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2650,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2149,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
5851,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2903,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3140,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2752,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3289,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
