RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
7759,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2859,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2786,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
4228,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2224,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3821,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3556,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
4541,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2829,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2439,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1822,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2784,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2348,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3203,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2949,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3043,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2510,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2308,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3186,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1947,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2682,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3519,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2491,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2234,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2198,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2039,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2330,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2883,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
5632,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2358,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2319,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2795,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1635,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2177,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1658,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1860,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2355,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2719,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2663,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2009,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1791,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1574,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1765,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3284,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1872,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2545,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1830,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1455,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1884,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2136,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1454,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2013,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1983,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2661,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2078,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1916,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1708,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1842,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2318,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1783,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2283,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2079,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1830,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1757,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1909,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2449,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
4567,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1982,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
4371,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2634,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
