RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
7962,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4649,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3693,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2932,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4801,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4220,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
6084,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4852,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3142,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3359,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3068,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4958,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3270,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
