RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
14046,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8801,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
10149,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
11430,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
11979,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6834,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3147,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3622,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8369,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4276,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6298,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
7456,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5559,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
3993,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
15397,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8144,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6619,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
10061,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
7697,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
4793,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6111,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6768,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
7631,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
6913,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5046,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
7335,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5805,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
25022,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8387,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5673,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
8369,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
5214,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5e9ffbdcaf81220009abc94f,"04/26/2022, 07:34:42"
