RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8092,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6471,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
10351,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3887,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9777,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7555,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5172,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4732,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9612,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9264,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
51604,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
578652,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5983,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5886,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
43660,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
23466,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9152,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3276,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8488,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9656,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6875,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
11515,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
20703,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8836,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5400,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9201,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
106737,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
12536,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
29479,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
10186,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8973,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3768,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5238,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4664,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3957,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5297,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
52768,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4908,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6531,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9063,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9561,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9500,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3728,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5488,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5095,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8806,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7684,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5983,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
10614,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6656,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5327,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7756,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5055,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
11820,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8601,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6406,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
15209,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6362,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
11655,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4164,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8832,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4943,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6557,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4538,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3080,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6142,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3935,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7544,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9252,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4507,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
9012,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6393,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4314,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
8581,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5359,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3810,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3648,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4508,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3775,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5359,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4813,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5085,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3856,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5022,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7103,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3409,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4996,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
11533,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4012,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
