RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
7613,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
5702,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4159,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
5483,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2917,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3399,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4549,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3413,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2802,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4046,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2986,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3684,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4026,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4263,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2217,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2431,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2658,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2592,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2438,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2454,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3510,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2992,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3161,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2444,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
8054,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2089,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2514,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2684,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4351,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2937,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2460,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2952,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
4691,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3569,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2589,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2074,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2486,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2528,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
7142,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3234,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
5089,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2409,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2166,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2438,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2406,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2844,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2271,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3378,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3980,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3257,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
11097,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
