RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
10607,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4254,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3512,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3580,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3465,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4218,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5330,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3202,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4428,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4645,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3905,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5620,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3326,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4338,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5207,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4345,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4116,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2889,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4495,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4183,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4405,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
8740,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4575,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4151,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4387,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3237,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3855,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3071,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4561,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3641,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4304,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4163,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
