RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
6825,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4318,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3910,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2503,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2511,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
4134,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2926,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2902,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
5375,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3558,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2255,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3471,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2351,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3575,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
