RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608489b0f443591db476893d,"04/26/2022, 07:43:23"
57073,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
6352,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
4216,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3324,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3837,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608489b0f443591db476893d,"04/26/2022, 07:43:23"
4745,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3431,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3428,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,608489b0f443591db476893d,"04/26/2022, 07:43:23"
2774,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,608489b0f443591db476893d,"04/26/2022, 07:43:23"
3408,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,608489b0f443591db476893d,"04/26/2022, 07:43:23"
