"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","normlised_keyPress","age","gender","handedness","isFamiliar_img1","isFamiliar_img2","vividness_img1","vividness_img2","reject_trial","pair"
22503,"E_M_tom_hankes.jpg","P_M_george_Wbush.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M","5","580886502e30a90001da9441","04/26/2022, 13:51:54",0,"34","Female","left",1,0,0,0,TRUE,"E_M_tom_hankes.jpg P_M_george_Wbush.jpg"
4300,"E_F_keira_knightley.jpg","P_M_bill_clinton.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","5","580886502e30a90001da9441","04/26/2022, 13:51:54",0,"34","Female","left",1,0,0,0,TRUE,"E_F_keira_knightley.jpg P_M_bill_clinton.jpg"
4639,"E_M_robert_de_niro.jpg","P_F_nicola_sturgeon.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F","5","580886502e30a90001da9441","04/26/2022, 13:51:54",0,"34","Female","left",1,0,0,0,TRUE,"E_M_robert_de_niro.jpg P_F_nicola_sturgeon.jpg"
4798,"E_F_angelina_jolie.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","3","580886502e30a90001da9441","04/26/2022, 13:51:54",-1.27644441509514,"34","Female","left",1,1,0,0,FALSE,"E_F_angelina_jolie.jpg E_M_tom_hankes.jpg"
4866,"E_F_angelina_jolie.jpg","P_M_david_cameron.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","580886502e30a90001da9441","04/26/2022, 13:51:54",0.638222207547572,"34","Female","left",1,1,0,0,FALSE,"E_F_angelina_jolie.jpg P_M_david_cameron.jpg"
4022,"E_F_Judi_Dench.jpg","E_M_michael_caine.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","1","580886502e30a90001da9441","04/26/2022, 13:51:54",-2.55288883019029,"34","Female","left",1,1,0,0,FALSE,"E_F_Judi_Dench.jpg E_M_michael_caine.jpg"
3537,"E_F_keira_knightley.jpg","P_M_donald_trump.jpg","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M","6","580886502e30a90001da9441","04/26/2022, 13:51:54",0.638222207547572,"34","Female","left",1,1,0,0,FALSE,"E_F_keira_knightley.jpg P_M_donald_trump.jpg"
2913,"E_M_Hugh_Grant.jpg","E_M_tom_hankes.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M","2","580886502e30a90001da9441","04/26/2022, 13:51:54",-1.91466662264272,"34","Female","left",1,1,0,0,FALSE,"E_M_Hugh_Grant.jpg E_M_tom_hankes.jpg"
3431,"P_F_hillary_clinton.jpg","P_M_Tony_Blair.jpg","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M","2","580886502e30a90001da9441","04/26/2022, 13:51:54",-1.91466662264272,"34","Female","left",0,1,0,0,TRUE,"P_F_hillary_clinton.jpg P_M_Tony_Blair.jpg"
3006,"E_F_Kate_Winslet.jpg","E_M_Hugh_Grant.jpg","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M","2","580886502e30a90001da9441","04/26/2022, 13:51:54",-1.91466662264272,"34","Female","left",1,1,0,0,FALSE,"E_F_Kate_Winslet.jpg E_M_Hugh_Grant.jpg"
