RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4679,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5258,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2335,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5091,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5107,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5208,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5003,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4222,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3474,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2948,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5995,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5511,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3830,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5595,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4641,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6832,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3593,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3480,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4285,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2186,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6083,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
7258,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5107,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3803,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3130,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5259,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5093,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3805,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6451,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2428,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4523,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5500,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3193,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4573,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4864,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3019,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6743,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3932,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6842,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4066,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3868,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5133,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2987,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3849,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5918,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4510,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4054,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
11927,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
13586,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
14949,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4950,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3034,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3141,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3356,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6867,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3395,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5824,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3165,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2361,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6006,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3282,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
7734,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3218,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5317,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6282,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5102,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
8129,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
14711,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3899,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3322,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6193,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4674,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
7884,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4128,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5409,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3978,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3979,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3653,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3353,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3970,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3518,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2919,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
7133,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4975,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4153,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
12158,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3958,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3245,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4484,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4462,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
9526,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3950,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2333,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
5005,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3550,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4503,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3932,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6209,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3372,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4622,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3822,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
14255,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
11379,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3281,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4400,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
4530,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
2678,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6236,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
13611,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
8902,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
6958,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3770,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3010,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3837,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
3740,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
19960,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
23793,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
12640,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
8066,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6079d5594e04ae457e6646c6,"04/26/2022, 14:05:24"
