RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5826,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3702,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5298,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
6274,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5287,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3799,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5583,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
5783,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3086,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3815,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2754,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3838,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3390,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2791,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2739,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2082,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3655,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3162,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2470,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2251,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
4106,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3135,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2714,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2358,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
6763,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
2046,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3031,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
3175,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,608d74791c7dbdfe879575d9,"04/26/2022, 13:53:37"
