RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4383,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
4063,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2793,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2615,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3106,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3451,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2702,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2555,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3510,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3869,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2347,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1979,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3325,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
8751,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
3479,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
2717,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
9676,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
14114,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
1963,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
5506,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6147c5874b61952e42e9b2bd,"04/26/2022, 14:00:57"
