RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
9692,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3683,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4892,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
10249,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4539,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2798,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3142,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4781,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3562,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4832,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
20191,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2859,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3706,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
5949,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3034,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2894,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2484,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4142,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4003,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3144,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
12348,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
8653,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
8137,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3705,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3952,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
6299,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3439,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3113,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3314,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3044,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
1860,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
6581,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2590,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
18724,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2066,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2315,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
4658,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
27082,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2716,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2889,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
3731,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
2014,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57df427c722df500017f43ae,"11/02/2022, 16:13:27"
