RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
7194,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
4326,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3834,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3348,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3553,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3765,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
4596,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3365,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
3714,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
4838,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2830,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2743,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2655,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
2404,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5caa61abcb4af3001640e877,"11/02/2022, 14:38:23"
